sinhala_question,sinhala_answer
"මරණ පාරිතෝෂිකය ලබා ගැනීම සඳහා සම්පූර්ණ කළ යුතු විශේෂ කරුණු තිබේද? ","ඔව්. මරණ පාරිතෝෂිකය ලබා ගැනීම සඳහා පහත සඳහන් කරුණු සම්පූර්ණ කර තිබීම අනිවාර්ය වේ. දායකයා මිය යන අවස්ථාවේදී විශ්‍රාම වැටුප් හිමි තනතුරක් දැරීම. අදාල තනතුරේ සේවය ස්ථිර කර තිබීම. මාස 60 ක දළ සේවා කාලයක් සම්පූර්ණ කර තිබීම."
"මරණ පාරිතෝෂික අයදුම්පත් විශ්‍රාම වැටුප් දෙපාර්තමේන්තුව වෙත ඉදිරිපත් කරන්නේ කෙසේද?","මරණ පාරිතෝෂිකය ලබා ගැනීම සඳහා මරණ පාරිතෝෂික අයදුම්පත් (PD5) විශ්‍රාම වැටුප් දෙපාර්තමේන්තුව වෙත යොමු කළ යුතු අතර, අයදුම්පත් යොමු කිරීම සමිබන්ධව විශ්‍රාම වැටුප් චක්‍රලේඛ අංක 09/2015, 09/2015(III) මගින් උපදෙස් ලබා දී ඇත. එකී උපදෙස් අනුව මිය ගිය දායකයා අවසන් වරට සේවය කළ ආයතනයේ විෂය නිලධාරියා විසින් එම තොරතුරු මරණ පාරිතෝෂික ගෙවීමේ දත්ත පද්ධතියට මාර්ගගත ව (Online) ඇතුළත් කර ලබා ගන්නා අයදුම්පතේ පිටපත (PD5) අනෙකුත් ලේඛන සමඟ ආයතන ප්‍රධානී සහතික කිරීමෙන් අනතුරුව තැපැල් මඟින් විශ්‍රාම වැටුප් දෙපාර්තමේන්තුව වෙත ඉදිරිපත් කළ යුතුය. "
"අදාල ලේඛන විශ්‍රාම වැටුප් දෙපාර්තමේන්තුව වෙත යොමු කිරීමෙන් පසු ගෙවීම් සිදු කරන තෙක් අයදුම්පතේ වර්තමාන තත්ත්වය පිළිබඳව දැනගැනීමේ හැකියාවක් පවතීද?","මරණ පාරිතෝෂික අයදුම්පත් විශ්‍රාම වැටුප් දෙපාර්තමේන්තුව වෙත යොමු කිරීමෙන් අනතුරුව එහි කටයුතු මාර්ගගත දත්ත පද්ධතියක් ඔස්සේ සිදු කරන බැවින් ඕනෑම අයෙකුට අයදුම්පතේ වර්තමාන තත්ත්වය පිළිබඳව විශ්‍රාම වැටුප් දෙපාර්තමේන්තු නිල වෙබ් අඩවිය ඔස්සේ (https://www.pensions.gov.lk)  පරික්ෂා කිරීමේ හැකියාව පවතී. එමෙන්ම අයදුම්පත් යොමු කිරීමේ සිට ගෙවීම් සිදු වන අවස්ථාව දක්වා අයදුම්පත යොමු වන එක් එක් අවස්ථාවන් දැනුවත් කරමින් යැපෙන්නන් ලෙස තොරතුරු ඇතුළත් කර ඇති අයෙකු සඳහා කෙටි පණිවුඩයක් යොමු කිරීමද සිදු කරනු ලැබේ."
"දත්ත පද්ධතිය ඔස්සේ තොරතුරු පරික්ෂා කරන්නේ කෙසේද ? ","විශ්‍රාම වැටුප් දෙපාර්තමේන්තු නිල වෙබ් අඩවිය වෙත පිවිස (https://www.pensions.gov.lk) එහි Public Services තුළ, මිය ගිය අයගේ ජාතික හැඳුනුම්පත් අංකය ඇතුලත් කර ඉදිරියට යා යුතු අතර , ඉන් පසුව PD5 අයදුම්පත් යන්න තෝරාගත යුතුය.එහි දිස්වන තිරයෙහි Application State තුළින් අයදුම්පතේ වර්තමාන තත්වය දැක ගැනීමේ හැකියාව පවතී."
"අයදුම්පතෙහි අඩුපාඩු යනුවෙන් හඳුන්වනු ලබන්නේ මොනවාද? "," මරණ පාරිතෝෂික ගෙවීමේ ක්‍රියාවලිය මාර්ගගත ක්‍රමය අනුව සිදු කරනු ලබන බැවින් අදාළ තොරතුරු නිවැරදිව පද්ධතියෙහි ඇතුලත් කළ යුතුය. එසේ තොරතුරු ඇතුලත් කිරීමේදී යම් අතපසුවීමකින් දත්ත වැරදි ආකාරයට ඇතුලත් වීම හා මරණ පාරිතෝෂික ගෙවීම සඳහා PD5 අයඳුම්පත සමඟ විශ්‍රාම වැටුප් දෙපාර්තමේන්තුව වෙත ඉදිරිපත් කළ යුතු ලේඛන අතුරින් ලේඛනයක් හෝ කිහිපයක් ඉදිරිපත් කර නොතිබීම වැනි කරුණු අඩුපාඩු ලෙස හඳුන්වනු ලබයි."
"යම් අයදුම්පතක් සම්බන්ධව පවතින අඩුපාඩු මොනවාදැයි දැනගන්නේ කෙසේද?","ඔබ ආයතනය මඟින් ඉදිරිපත් කරනු ලබන අයදුම්පත් සම්බන්ධව ගැටලු පවතින අවස්ථාවන්හීදී එම ගැටලු සඳහන් කරමින් අයදුම්පත ප්‍රතික්ෂේප කිරීම දත්ත පද්ධතිය මඟින් සිදු කරන බැවින් එකී සියලුම අඩුපාඩු විශ්‍රාම වැටුප් දෙපාර්තමේන්තු නිල වෙබ් අඩවිය මඟින් (https://www.pensions.gov.lk) ඕනෑම අයෙකුට පරීක්ෂා කිරීමේ හැකියාව පවතී. තවද, අයදුම්පත් යම් හේතුවක් මත ප්‍රතික්ශේප වූයේනම් ඒ බව සඳහන් කරමින් යැපෙන්නන් වෙත කෙටි පණිවිඩයක් යොමු කරන බැවින් අදාළ ආයතනය සම්බන්ධ කර ගැනීමෙන් අනතුරුව එම ආයතනයේ විෂය නිලධාරියා මාර්ගයෙන් අයදුම්පත ප්‍රතික්ෂේප වූ හේතුව දැන ගැනීමේ හැකියාව පවතී."
"දත්ත පද්ධතිය මඟින් අයදුම්පත ප්‍රතික්ෂේප වූ කරුණු පරික්ෂා කරන්නේ කෙසේද?","විශ්‍රාම වැටුප් දෙපාර්තමේන්තු නිල වෙබි අඩවිය වෙත පිවිස (https://www.pensions.gov.lk) එහි Public Services තුළ මිය ගිය අයගේ ජාතික හැඳුනුම්පත් අංකය ඇතුලත් කර ඉදිරියට යා යුතු අතර , ඉන් පසුව PD5 අයදුම්පත් යන්න තෝරාගත යුතුය. එහි දිස්වන තිරය තුළ Application State යටතේ ඇති View Reasons බටනය Click කිරීම මඟින් අයදුම්පත ප්‍රතික්ෂේප වූ කරුණු පරික්ෂා කිරීමේ හැකියාව ඇත. එහිදී, අයදුම්පත ප්‍රතික්ෂේප වූ සෑම වාරයකදීම ප්‍රතික්ෂේප කරන ලද හේතු සඳහන්ව ඇති අතර, ආසන්නතම දිනයේ ප්‍රතික්ෂේප වූ හේතූන් පහළින්ම දක්වා ඇත. එහි ප්‍රතික්ෂේප කරන ලද හේතුව හා දිනය සටහන්ව ඇති බැවින් පහසුවෙන් පැහැදිලි කර ගැනීමේ හැකියාවක් ඕනෑම අයෙකුට ඇත. "
"අඩුපාඩු නිවැරදි කිරීමෙන් පසු එම ලේඛන විශ්‍රාම වැටුප් දෙපාර්තමේන්තුව වෙත ඉදිරිපත් කරන්නේ කෙසේද? ","මේ වන විට අයදුම්පත් වල අඩුපාඩු ගෙන්වීම E-Mail මාර්ගයෙන් සිදු කරනු ලබන අතර, අප වෙත ඉදිරිපත් කරනු ලබන සියලු ලේඛන ආයතන ප්‍රධානී විසින් සහතික කිරීමෙන් අනතුරුව Scan කර PDFආකාරයට E-Mail මාර්ගයෙන් යොමු කළ යුතුය. තවද, අදාල E-Mail පණිවිඩය යොමු කිරීමේදී මරණ පාරිතෝෂික යොමු අංකය සටහන් කිරීම අනිවාර්ය වේ. එසේ  E-Mail පණිවිඩය යොමු කළ පසු 011 – 2332346 අංකය ඔස්සේ වැන්දඹු හා අනත්දරු විශ්‍රාම වැටුප් අංශය සම්බන්ධ කර ගෙන අදාළ ලේඛන ලැබී ඇත්ද යන්න තහවුරු කර ගැනීමේ හැකියාව පවතී. තැපැල් මාර්ගයෙන්ද අඩුපාඩු ඉදිරිපත් කිරීමේ හැකියාව ඇති අතර විශ්‍රාම වැටුප් දෙපාර්තමේන්තු තැපැල් අංශය වෙත අතින් ගෙනැවින් භාර දෙන ලේඛනද භාර ගනී. ( සෑම ලේඛනයක්ම අදාළ ආයතනයේ ආයතන ප්‍රධානියා විසින් සහතික කර තිබීම අනිවාර්ය වේ)."
"මරණ පාරිතෝෂිකය හිමිගැන්වීම පිළිබඳව හෝ ඒ සම්බන්ධ යම් ගැටලුවක් පැන නගින වෙනත් අවස්ථාවකදී කළ යුතුතේ කුමක්ද? ","විශ්‍රාම වැටුප් දෙපාර්තමේන්තු නිල වෙබ් අඩවිය (https://www.pensions.gov.lk) වෙත පිවිසීමෙන් ඔබට අවශ්‍ය සියලුම තොරතුරු පරික්ෂා කිරීමේ හැකියාව පවතින බැවින් විශ්‍රාම වැටුප් දෙපාර්තමේන්තුව හා සම්බන්ධ නොවී ඔබගේ අයදුම්පත සම්බන්ධව හෝ වෙනත් ඕනෑම කරුණක් සම්බන්ධව ගැටලුවක් ඇති අවස්ථාවකදී විශ්‍රාම වැටුප් දෙපාර්තමේන්තු නිල වෙබ් අඩවිය වෙත පිවිස අදාළ කරුණු පරික්ෂා කර ගන්නා ලෙස කාරුණිකව දැනුම් දෙමු. වෙබ් අඩවියේ සඳහන් නොවන කරුණක් පිළිබඳව දැනගැනීමේ අවශ්‍යතාවයකදී පමණක් 011 – 2332346 අංකය ඔස්සේ වැන්දඹු හා අනත්දරු විශ්‍රාම වැටුප් අංශය අමතා තොරතුරු දැන ගැනීමේ හැකියාව පවතී."
"මරණ පාරිතෝෂිකය ගෙවනු ලබන්නේ කවුරුන් උදෙසාද?","සේවයේ යෙදෙමින් සිටියදී මිය යනු ලබන, දළ සේවා කාලය මාස 60ක් සපුරා ඇති රජයේ නිලධාරීන්ගේ/ නිලධාරිනියන්ගේ යැපෙන්නන් වෙත මරණ පාරිතෝෂිකය ගෙවනු ලබයි."
"මරණ පාරිතෝෂික ගෙවීම සම්බන්ධව විධිවිධාන සළසා ඇත්තේ කුමකින්ද?","විශ්‍රාම වැටුප් ව්‍යවස්ථා සංග්‍රහයේ 2(ආ) වගන්තිය මගින් මරණ පාරිතෝෂිතය ගෙවීම සම්බන්ධව  විධිවිධාන සලසා ඇත."
"සේවයෙන් ඉල්ලා අස්වූ හෝ සේවය අතහැර ගොස් සිටි නිලධාරියෙකු මිය ගිය විට ඔහු හෝ ඇය වෙනුවෙන් මරණ පාරිතෝෂිකය හිමිගැන්විය හැකිද?","නොහැක. මරණ පාරිතෝෂිකය ගෙවිය හැක්කේ සක්‍රීය සේවයේ සිටියදී මිය ගිය නිලධාරීන් සඳහා පමණි."
"රාජ්‍ය සේවයෙන් විශ්‍රාම ගන්නා ලද, නමුත් විශ්‍රාම වැටුප් ලබා ගැනීමට පෙර මිය යන නිලධාරීන් සඳහා මරණ පාරිතෝෂිකය හිමිගැන්විය හැකිද?","නොහැක. නමුත් නිලධාරියා විශ්‍රාම පාරිතෝෂිකය සඳහා මනාපය පළ කර ඇත්නම් විශ්‍රාම පාරිතෝෂිකය ගෙවිය හැකි අතර, විශ්‍රාම පාරිතෝෂිකය සඳහා මනාපය පළ කර නොමැතිනම් නිලධාරියා මිය ගිය දිනය දක්වා  ගෙවිය යුතුව තිබූ විශ්‍රාම වැටුප පමණක් උරුමකරුවන් වෙත ගෙවිය හැක. ඒ සඳහා විශ්‍රාම වැටුප් ව්‍යවස්ථා සංග්‍රහයේ 2.39 වගන්තිය යටතේ විධිවිධාන සළසා ඇති අතර, විශ්‍රාම වැටුප් චක්‍රලේඛ 7/2022 අනුව උරුමකරු ගෙවීම් සඳහා අයදුම්පත් යොමු කළ යුතුය. (උරුමකරු ගෙවීම් සම්බන්ධයෙන් අවශ්‍ය කටයුතු මධ්‍යගත විශ්‍රාම වැටුප් අංශයෙන් සිදු කෙරේ.)"
"මරණ පාරිතෝෂික අයදුම්පත් මාර්ගගත පද්ධතිය මඟින් යොමු කිරීමේදී ගැටලු ඇතිවන අවස්ථාවන්වලදී සිදු කළ යුතුතේ කුමක්ද?","මාර්ගගත පද්ධතිය මඟින් අයදුම්පත් යොමු කිරීමේදී ගැටලු ඇතිවන අවස්ථාවන්හීදී විශ්‍රාම වැටුප් දෙපාර්තමේන්තු තොරතුරු තාක්ෂණ අංශය හා සම්බන්ධ වී තාක්ෂණික උපදෙස් ලබා ගැනීම සිදු කළ යුතුය. ඒ සඳහා inquiry, helpdesk@pensions.gov.lk යන විද්‍යුත් තැපැල් ලිපින මඟින් හෝ 011 - 5 920 403 දුරකථන අංකය ඔස්සේ තොරතුරු තාක්ෂණ අංශය සම්බන්ධ කර ගත හැක."
"2006 වර්ෂයට පෙර මිය ගිය නිලධාරීන්ගේ වැටුප් පරිමාණ මාර්ගගත පද්ධතියේ පෙන්නුම් නොකෙරේ. මෙවැනි අවස්ථාවන්හීදී කළ යුතුතේ කුමක්ද?","2006 වර්ෂයට පෙර වැටුප් පරිමාණ මාර්ගගත පද්ධතියේ ඇතුළත් කර නොමැත. එවැනි අයදුම්පත් විශ්‍රාම වැටුප් චක්‍රලේඛ 09/2015 හි දක්වා ඇති මුද්‍රිත අයදුම්පත් ආකෘතිය සමඟ මාර්ගගත නොවන ආකාරයට (Manual) විශ්‍රාම වැටුප් දෙපාර්තමේන්තුව වෙත යොමු කළ යුතුය. "
"මරණ පාරිතෝෂික අයදුම්පත් යොමු කිරීම සම්බන්ධව උපදෙස් ලබා දී ඇති චක්‍රලේඛ මොනවාද?","විශ්‍රාම වැටුප් චක්‍රලේඛ අංක 09/2015 Circulars හා 09/2015(III) Circulars යන චක්‍රලේඛ මගිනි."
"මරණ පාරිතෝෂිකයක් හිමිගැන්වීම සඳහා සම්පූර්ණ කළ යුතු මූලික කරුණු මොනවාද?","මරණ පාරිතෝෂිකය ලබා ගැනීම සඳහා පහත සඳහන් කරුණු සම්පූර්ණ කර තිබීම අනිවාර්ය වේ.දායකයා මිය යන අවස්ථාවේදී විශ්‍රාම වැටුප් හිමි තනතුරක් දැරීම.,අදාල තනතුරේ සේවය ස්ථිර කර තිබීම.,මාස 60 ක දළ සේවා කාලයක් සම්පූර්ණ කර තිබීම."
"මරණ පාරිතෝෂිකය ගණනය කරන්නේ කෙසේද?","විශ්‍රාම වැටුප් ව්‍යස්ථා සංග්‍රහයේ 2(ආ) (අ) සහ (ආ) වගන්ති අනුව අඩු නොකළ වාර්ෂික විශ්‍රාම වැටුප මෙන් දෙගුණයක් හෝ වාර්ෂික වැටුප හෝ යන මේ දෙකෙන් වැඩි වටිනාකම මරණ පාරිතෝෂිකය ලෙස ගෙවීම සිදු වේ."
"මරණ පාරිතෝෂිකය ලබා ගැනීම සඳහා හිමිකම් ලබන පාර්ශවයන් කවරහුද?","මරණ පාරිතෝෂිකය හිමිගන්වනු ලබන්නේ රජයේ සේවයේ යෙදී සිටින අතරතුර දායකයා මිය යාම හේතුවෙන් අගතියට පත්වන දායකයාගේ නීත්‍යනුකූල යැපෙන්නන් වෙතය."
"මරණ පාරිතෝෂිකය හිමිගැන්වීමේදී යැපෙන්නන් ලෙස අර්ථ දක්වන්නේ කවුරුන්ද?","මියගිය නිලධාරියා/නිලධාරිණිය විවාහක නම්,නීත්‍යනුකූල කලත්‍රයා,දායකයා මිය යන දිනට අවිවාහක හා රැකියා විරහිත දරුවන් (දරුවන්ගේ වයස බළනොපායි). මියගිය නිලධාරියා/නිලධාරිණිය අවිවාහක නම්,පියා සහ මව,මව හෝ පියා යන දෙදෙනාම ජීවතුන් අතර නොමැති නම් අදාළ නිලධාරියා හෝ නිලධාරිණිය මිය ගිය දිනට අවිවාහක හා රැකියා විරහිත සහෝදර සහෝදරියන් (සහෝදර සහෝදරියන් අවිවාහක හා රැකියා විරහිත බව යැපෙන්නන්ගේ වාර්තාවේ පැහැදිලිව සඳහන් කර තිබිය යුතුය)"
"මිය ගිය නිලධාරියා/නිලධාරිණිය වෙනුවෙන් මරණ පාරිතෝෂිකය ලබා ගැනීම සඳහා යැපෙන්නන් කිසිවෙක් නොමැති අවස්ථාවකදී සිදු කළ යුත්තේ කුමක්ද?","යැපෙන්නන් නොමැති අවස්ථාවකදී අදාළ නිලධාරියාගෙන් හෝ නිලධාරිණියගෙන් රජයට අයවීම් පවතී නම් එම රජයට අයවීම් අය කර ගැනීම සඳහා පමණක් මරණ පාරිතෝෂික අයදුම්පත් යොමු කළ යුතුය. එහිදී යැපෙන්නන් නොමැති බවට ප්‍රාදේශීය ලේකම් විසින් තහවුරු කර තිබීම අනිවාර්ය වේ."
"මරණ පාරිතෝෂික ගෙවීම් කිරීමේ ක්‍රමවේදය කුමක්ද?","විශ්‍රාම වැටුප් චක්‍රලේඛ 09/2015 (සංශෝධන iii) හි සඳහන් ආකාරයට මේ වන විට මරණ පාරිතෝෂික ගෙවීම් කටයුතු සිදු කරනු ලබයි. ඒ අනුව මරණ පාරිතෝෂික අයදුම්පත මාර්ගගත දත්ත පද්ධතියේ ඇතුලත් කළ යුතු වන අතර පසුව එහි මුද්‍රිත පිටපත ලබා ගෙන, එය (Hard Copy) ආයතන ප්‍රධානී සහතික කිරීමෙන් අනතුරුව අයදුම්පත පිටුපසෙහි දක්වා ඇති සියලුම ලේඛන තිබේදැයි නිවැරදිව පරික්ෂා කිරීමෙන් අනතුරුව එකී සියලුම ලේඛන ආයතන ප්‍රධානී සහතික කර අයදුම්පත සමඟ විශ්‍රාම වැටුප් දෙපාර්තමේන්තුව වෙත යොමු කළ යුතුය."
"මරණ පාරිතෝෂික අයදුම්පත සමඟ ඉදිරිපත් කළ යුතු අනෙකුත් පොදු ලේඛන මොනවාද?","මිය ගිය නිලධාරියාගේ මරණ සහතිකයේ මුල් පිටපත, උප්පැන්න සහතිකයේ මුල් පිටපත, ජාතික හැඳුනුම්පතේ සහතික කළ පිටපතක්, චර්යා සටහනේ සහතික කළ පිටපතක් - නිලධාරියාගේ මුල් පත්වීමේ දින සිට මිය ගිය දිනය දක්වා සියලුම වර්ෂ හා තොරතුරු ඇතුලත් කර සම්පූර්ණ කරන ලද චර්යා සටහන ඉදිරිපත් කළ යුතු අතර අසම්පූර්ණ චර්යා සටහන් සහිත අයදුම්පත් ප්‍රතික්ෂේප කිරීමට සිදු වනු ඇත., පත්වීමේ ලිපියේ සහතික කළ පිටපතක් - ස්ථීර හා විශ්‍රාම වැටුප් සහිත පත්වීම් ලිපිය හා ස්ථීර හා විශ්‍රාම වැටුප් සහිත පත්වීමක් ලබා ගැනීමට පෙර අනියම් /ආදේශක /තාවකාලික /අභ්‍යාසලාභී /දෛනික හෝ කොන්ත්‍රාත් පදනම මත සේවය කර ඇත්නම් එම සියලුම පත්වීම් ලිපිවල සහතික කරන ලද පිටපත් ඉදිරිපත් කළ යුතු අතර පත්වීම් ලිපියක් නොමැතිනම් එම සේවා කාලය මරණ පාරිතෝෂිකය ගෙවීම සඳහා අදාළ කර ගත නොහැක., පත්වීම ස්ථිර කිරීමේ ලිපියේ සහතික කළ පිටපතක් - මිය ගිය නිලධාරියාගේ/නිලධාරිණියගේ ස්ථීර හා විශ්‍රාම වැටුප් සහිත තනතුර ස්ථීර කර තිබිය යුතු අතර පත්වීම ස්ථීර කිරීමේ ලිපියක් නොමැතිනම් මරණ පාරිතෝෂිකය ගෙවීමේ හැකියාවක් නොමැති බැවින් ඒ බව නිලධාරි‍යාගේ යැපෙන්නන් වෙත ලිඛිතව දැන්විය යුතුය., නොඉල්ලුම් සහතිකය - නිලධාරියාගෙන් රජයට අයවිය යුතු සියලුම රජයට අයකිරීම් සඳහන් කර සකස් කරන ලද නොඉල්ලුම් සහතිකය මෙහි ඇතුලත් කළ යුතුය. නොඉල්ලුම් සහතිකයේ දක්වා ඇති රජයට අයවීම් සහ PD5 අයදුම්පතෙහි දක්වා ඇති රජයට අයවීම් අනිවාර්යෙන්ම සමාන විය යුතු අතර එසේ නොවන අවස්ථාවලදී අයදුම්පත් ප්‍රතික්ෂේප වීම සිදු වනු ඇත., සේවා කඩවීම් ඇත්නම් ඒ පිළිබඳ තොරතුරු හා සේවා කඩවීම් පැවති කාලසීමා සඳහා වැන්දඹු හා අනත්දරු දායක මුදල් අය කළ බවට තහවුරුවක්. , අවසන් වරට ගත් වැටුප් පත්‍රිකාවේ සහතික කළ පිටපතක්., අවසන් වරට ලබා ගත් වැටුප් පරිවර්තන ලිපියේ සහතික කළ පිටපතක්., නිවැරදි ආකෘතියට අනුව සම්පූර්ණ කරන ලද යැපෙන්නන්ගේ වාර්තාව.,  සියලුම යැපෙන්නන්ගේ උප්පැන්න සහතික හා බැංකු ගිණුම් පොත්වල සහතික කළ පිටපත්., විශ්‍රාම වැටුප් චක්‍රලේඛ 03/2020 අනුව සකස් කරන ලද PD04 ආයදුම්පත ( වැන්දඹු හා අනත්දරු අයදුම්පත)  සහ අදාළ ලේඛන, පත්වීම පෙරදාතම් කර තිබේ නම් එම පෙරදාතම් කරන ලද කාලසීමාව සඳහා වැන්දඹු අනත්දරු දායක මුදල් අය කර තිබේද යන්න පිළිබඳ තහවුරුවක් "
"එකම අයවීම් වර්ගය යටතේ අයවීම් කිහිපයක් ඇති අවස්ථාවන් වලදී එම අයවීම් පද්ධතියේ ඇතුලත් කරන්නේ කෙසේද?","පද්ධතිය තුළ මෙම රජයට අයකිරීම් නිවැරදිව වර්ග කර දැක්විය යුතු අතර, එකම වර්ගීකරණය යටතේ අයකිරිම් කීපයක් දැක්වීම සිදු නොකර එකතුවක් ලෙස දැක්විය යුතුය. (උදා- දෛනික සේවා කාලය වෙනුවෙන් වැන්දඹු හා අනත්දරු අරමුදල වෙනුවෙන් හිඟ දායක මුදල් අයවීමට ඇති අවස්ථාවකදී හා වැඩ තහනම්ව සිටි කාලසීමාවක් සඳහා වැන්දඹු හා අනත්දරු අරමුදල වෙනුවෙන් දායක මුදල් අයවීමට ඇති අවස්ථාවකදී, පද්ධතියේ වැන්දඹු හා අනත්දරු අරමුදල වෙන්වෙන් හිඟ දායක මුදල් අයවීම, වැන්දඹු හා අනත්දරු අරමුදල වෙන්වෙන් හිඟ දායක මුදල් අයවීම ලෙස දෙවතාවක් ඇතුලත් නොකර, එක් වතාවක් පමණක් ඇතුලත් කර අවස්ථාවන් දෙකෙහි එකතුව ඇතුලත් කළ යුතුය.)"
"නිවැරදි ආකෘතියට සකස් කරන ලද යැපෙන්නන්ගේ වාර්තාව ලබා ගන්නේ කෙසේද?","මරණ පාරිතෝෂික දත්ත පද්ධතිය වෙත පිවිසීමේදී, දත්ත පද්ධතියේ අදාළ ආකෘතිය බාගත කර ගැනීමට අවස්ථාව සළසා ඇති අතර එහි සියලුම තොරතුරු සම්පූර්ණ කළ යුතු අතර හිස්තැන් නොතිබිය යුතුය."
"විවාහක නිලධාරියෙක්/නිලධාරිණියක් වෙනුවෙන් මරණ පාරිතෝෂිකය හිමි ගැන්වීමේදී ඉදිරිපත් කළ යුතු අනෙකුත් විශේෂ ලේඛන මොනවාද?","කලත්‍රයාගේ ජාතික හැඳුනුම්පතේ සහ උප්පැන්න සහතිකයේ සහතික කළ පිටපත්,විවාහ සහතිකයේ සහතික කළ පිටපතක්,අවිවාහක, රැකියා විරහිත දරුවන්ගේ උප්පැන්න සහතිකවල හා ජාතික හැඳුනුම්පත්වල සහතික කළ පිටපත්,කලත්‍රයාගේ සහ අවිවාහක,රැකියා විරහිත දරුවන්ගේ බැංකු ගිණුම් පොත්වල සහතික කළ පිටපත්.(මෙහිදී ගිණුම රජයේ බැංකුවක ගිණුමක් විය යුතු අතර බද්ධ ගිණුමක් නොවිය යුතුය),කලත්‍රයා හෝ දරුවන් මිය ගොස් ඇත්නම් ඔවුන්ගේ මරණ සහතිකවල සහතික කළ පිටපත.,කලත්‍රයාගේ හෝ දරුවන්ගේ නම් වල වෙනස්කම් පවතී නම් ඒ සම්බන්ධව ලබා දී ඇති දිවුරුම් ප්‍රකාශ හෝ ඒ බව තහවුරු කෙරෙන නෛතික ලේඛන."
"නිලධාරියාට / නිලධාරිණියට හෝ කලත්‍රයාට විවාහයන් කීපයක් තිබී ඇති අවස්ථාවන් වලදී සිදු කළ යුත්තේ කුමක්ද?","එම එක් එක් විවාහයන්ට අදාල විවාහ සහතිකවල සහතික කළ පිටපත්, දික්කසාද නියත තීන්දු ප්‍රකාශයන් හෝ (උසාවි රෙජිස්ට්‍රාර් විසින් සහතික කළ) පෙර විවාහයේ කලත්‍රයාගේ මරණ සහතික ඉදිරිපත් කළ යුතුය. පෙර විවාහවල දරුවන් පිළිබඳ තොරතුරුද (දරුවන් ගණන, වයස,රැකියාවක් සිදු කරන්නේද නැද්ද යන වග දින සහිතව, විවාහකද නැද්ද යන වග දින සහිතව,  ඔවුන්ගේ උප්පැන්න සහතික හා බැංකු ගිණුම් පිටපත් ) මේ සමඟ ඉදිරිපත් කිරීම හා යැපෙන්නන්ගේ වාර්තාවේ ඇතුළත් කිරීම අනිවාර්ය වේ."
"අවිවාහක නිලධාරියෙකු හෝ නිලධාරිණියෙකු මිය ගිය අවස්ථාවකදී ඉදිරිපත් කළ යුතු ලේඛන මොනවාද?","දෙමව්පියන්ගේ ජාතික හැදුනුම්පත්වල සහතික කළ පිටපත්, බැංකු ගිණුම් පොත්වල සහතික කළ පිටපත් හා විවාහ සහතිකයේ සහතික කළ පිටපතක්., මව හෝ පියා මිය ගොස් ඇත්නම් ඔවුන්ගේ මරණ සහතිකයන්හි සහතික කළ පිටපත්.,දෙමාපියන්ගෙන් එක් අයෙක් හෝ ජීවත්වන අවස්ථාවකදී සම්පූර්ණ පාරිතෝෂික මුදල එම අය වෙනුවෙන් හිමිගැන්විය යුතුය."
"අවිවාහක නිලධාරියෙකු හෝ නිලධාරිණියෙකු මිය ගිය අවස්ථාවකදී දෙමාපියන් දෙදෙනාම ජීවතුන් අතර නොමැතිනම් මරණ පාරිතෝෂිකය කවුරුන් වෙනුවෙන් හෝ ගෙවීමේ හැකියාවක් තිබේද?","දෙමව්පියන් දෙදෙනාම නොමැති අවස්ථාවක දී මියගිය නිලධාරියාගේ / නිලධාරිණියගේ අවිවාහක හා රැකියා විරහිත සහෝදර සහෝදරියන් වෙනුවෙන් මරණ පාරිතෝෂිකය ගෙවීමේ හැකියාවක් ඇති අතර ඒ සඳහා ඔවුන්ගේ උප්පැන්න සහතික, ජාතික හැඳුනුම්පත් පිටපත් හා බැංකු ගිණුම් පොත්වල සහතික කළ පිටපත් ඉදිරිපත් කළ යුතුය. (සහෝදර සහෝදරියන්ගේ සිවිල් තත්ත්වය හා රැකියා තත්ත්වය දින සහිතව යැපෙන්නන්ගේ වාර්තාවේ ඇතුලත් කළ යුතුය)"
"මියගිය නිලධාරියා හට අනියම්/ තාවකාලික/ ආදේශක/ අභ්‍යාසලාභී සේවා කාලයක් පවතින අවස්ථාවන්වලදී ඉහත සඳහන්‍ කරන ලද ලේඛන වලට අමතරව ඉදිරිපත් කළ යුතු ලේඛන මොනවාද?","අදාල අනියම්/තාවකාලික/ආදේශක/ අභ්‍යාසලාභී පත්වීම් ලිපියේ හා චර්යා සටහනේ (පොදු 226) සහතික කළ පිටපත්, අනියම්/තාවකාලික/ආදේශක/ අභ්‍යාසලාභී  සේවා කාලය සඳහා වැන්දඹු හා අනත්දරු දායක මුදල් අයවීම සම්බන්ධ තොරතුරු."
